title	type	url_slug	venue	date	location	talk_url	description
Study of the effect of environment on AGN activity in HR5 simulation	Talk		Milne Centre meeting University of Hull UK	2023-05-15		
Studying Galaxy Evolution using Hydro-Dynamical Simulations	Talk		Nehru Planetarium New Delhi	2023-02-16		
Impact Of AGN emission on estimated star formation rate using IR luminosity of galaxies in HR5	Talk		Mapping the invisible Universe at Lorentz Center Leiden The Netherlands	2022-08-29 to 2022-09-02		
Effects of local environment on AGN activity in HR5	Talk		The 10th KIAS Workshop on Cosmology and Structure Formation at Korean Institute for Advanced Study (KIAS)	2022-10-24 to 2022-10-28		
Study of filament galaxies in EAGLE simulation	Talk		LSST@ASIA: Exploring the Wide Fast Deep Universe conference	at UNSW Sydney Australia    2019-05-20 to 2019-05-23		
Study of filament galaxies in EAGLE simulation	Talk		XXXVII Meeting of Astronomical Society of India Christ (Deemed to be University) Bengaluru India    2019-02-18 to 2019-02-22		
Caught in the web: a tale of filament galaxies	Poster		IAU Symposium 341: PanModel2018: Challenges in panchromatic modelling of galaxies with next-generation facilities Osaka University Osaka Japan	2018-11-12 to 2018-11-16		
Ultraviolet and optical view of galaxies in Coma Supercluster	Talk		Young Astronomer's Meet (YAM) Physical Research laboratory (PRL) Ahmedabad India    2018-09-24 to 2018-09-28		
An analytical study of ram pressure stripping of galaxies	Talk		Franco-Indian Astronomy School: From Re-ionization to Large Scale Structure- A multi-wavelength Approach IUCAA Pune India	2018-02-11 to 2018-02-17		
Ram Pressure Stripping: An analytical approach	Poster		XXXVI Meeting of Astronomical Society of India Osmania University Hyderabad India	2018-02-05 to 2018-02-09
